url,date,headline,article
https://io.tsu.ru/model-razvitia-ped-obrazovania/tpost/x86uhna8m1-u-studentov-3-kursa-io-tgu-proshel-obraz,03.10.2024,У студентов 3 курса ИО ТГУ прошел образовательный интенсив,"Томская школа неформального образования «Резонанс» провела образовательный интенсив у 3 курса педагогического бакалавриата.В рамках дисциплины ‭«Проектирование образовательных программ‭» преподаватели школы ‭«Резонанс‭» провели для студентов интенсив, посвященный трем аспектам: содержанию образования, методам и среде, где это образование происходит.Директор школы Олег Козубенко, зам.директора по учебной работе Кирилл Савченко, зам.директора по научно-методической работе Жанат Абдыкеров и руководитель начальной школы Алексей Романец в течение трех дней погружали студентов в сущность и контексты образования, актуализировали проблемы и вызовы, ставили перед студентами философские вопросы.Работа на интенсиве занимала весь день: утром — экспертные лекции, после обеда — групповая работа по поставленным вопросам, вечером — презентация результатов и рефлексия.На интенсиве студенты и эксперты обсудили самые важные для профессионалов образования вопросы:как и чему учить в эпоху кризиса;зачем иметь позицию, свое мировоззрение и ценности;как реализуется образовательная деятельность;какой должен быть педагог, чтобы его не заменил ИИ;кто такой современный человек, что он должен знать и др. Знания и наработки с этого интенсива помогут студентам определиться с темой и форматом создаваемых ими образовательных программ, сделать их более качественными и актуальными. Дальнейшие шаги по проработке студенческих проектов были намечены вместо с экспертами в финальный день интенсива, когда студенты распределились по группам. Работа продолжится в ноябре на следующем интенсиве, а пока студентов ждет самостоятельная работа и консультации с экспертами."
https://io.tsu.ru/news/tpost/8dg85hngm1-na-sovete-ekspertov-obsudili-rezultati-i,23.09.2024,На совете экспертов обсудили результаты и проблемы «пилота»,"На встрече руководителей вузов-«пилотов», которую организовала «Российская газета», Томский государственный университет представляла директор Института образования Елена Суханова.К 2026 году все вузы в России обязаны перейти на обновленную систему образования. Главная идея этого проекта заключается в более гибких сроках обучения, увеличении количества практики, более тесном сотрудничестве университетов с потенциальными работодателями. Вместо традиционного бакалавриата будут вводиться программы базового высшего образования, которые позволят продолжить обучение на специализированном уровне (аналог магистратуры), а затем и на уровне аспирантуры.Шесть отечественных вузов, в том числе Томский государственный университет, являются пилотными: от них ждут результатов апробации нововведений перед тиражированием опыта на всю систему высшего образования. Для живого обсуждения проектов, которые идут сейчас на местах, «Российская газета» собрала совет экспертов — руководителей университетов-пилотов. ТГУ на встрече представила заместитель проректора по образовательной деятельности, директор Института образования Елена Суханова. Она рассказала, что по результатам большого опроса, проведенного в конце 2022 г., обнаружилось, что 70% работодателей недовольны качеством высшего образования. 87% студентов хотят многообразия треков, индивидуальные траектории. Более 90% родителей первокурсников высказались за идею дополнительных квалификаций и возможность ускоренного выхода на рынок труда. Это подтверждает мысль о том, что предпосылки к переходу на новую систему образования чувствовались не только изнутри, но и снаружи. ТГУ в рамках «пилота» реализует 35 направлений подготовки. Востребованными оказались те направления, где добавляется цифровая компонента. Например, программа «Цифровой юрист». Или программы, усиливающие «цифровую» подготовку специалистов по финансовым технологиям. С Еленой Анатольевной согласны и другие участники встречи: пилотный проект неминуемо затронет практически все уровни образования, а не только высшее. Ректор Университета МИСИС Алевтина Черникова подчеркнула, что вузу важно не только найти талантливого, хорошо подготовленного абитуриента, но и выяснить, хочет ли он именно в этом учебном заведении получить образование. Ведь неправильно сделанный выбор может стоить абитуриенту нескольких потерянных лет. Поэтому знакомить школьника с вузом нужно даже не в старших, а в средних классах – чтобы было время самоопределиться. Еще одна из важнейших тем обсуждения — уроки, которые должны усвоить университеты, которые в 2026 году начнут переход на новую систему образования. Участники «пилота» акцентировали внимание на то, что эксперимент идет эффективно, однако пока сложно увидеть в разрозненных практиках какую-то единую модель. Второй момент – тиражируемость опыта пилотных вузов. Насколько возможно то, что удалось реализовать в шести университетах, перенести на почву всех вузов страны? Об этом экспертам еще предстоит рассуждать как минимум ближайший год. Текст: Анна ВасильченкоФото: пресс-служба ТГУ; «Российская газета»"
https://io.tsu.ru/innovativeeducationalprojects/tpost/uy54thh0o1-v-io-tgu-proshel-seminar-poinformatsionn,20.09.2024,В ИО ТГУ прошел семинар по информационно-аналитической работе,"В рамках регулярных методических семинаров Института образования ТГУ сотрудники отдела сопровождения инновационных образовательных проектов и редакционно-издательского отдела провели встречу на тему «Как сделать аналитику и подготовить информационно-аналитический документ».На семинаре руководитель отдела сопровождения инновационных образовательных проектов Марина Отт и преподаватель ИО ТГУ, аналитик Анна Васильченко рассказали про ключевые элементов информационно-аналитической работы, виды, структуру информационно-аналитических документов, а также привела примеры. На семинаре были рассмотрены виды аналитики и принципы ее создания, структура типового аналитического документа и инструмент «аналитическая матрица». Вторая половина семинара была посвящена типологии аналитических документов. Участники на примерах знакомились со структурой и спецификой каждого типа документа.Эти материалы помогут сотрудникам Института образования готовить необходимые аналитические документы для нужд различных проектов ИО и связанных с ним организаций. Участники семинара обсудили, что необходимо продолжить тему на еще одном семинаре — практическом, где они смогут разобрать собственные аналитические документы, найти там ошибки и удачные ходы."
https://io.tsu.ru/news/tpost/dubeth9eg1-studentka-instituta-obrazovaniya-tgu-fin,20.09.2024,Студентка Института образования ТГУ — финалист «Флагманов образования»,"Елизавета Коровина, студентка 3 курса Института образования ТГУ, вышла в финал проекта «Флагманы образования». Из более чем 12 тысяч студентов, подавших заявку на конкурс, в финал были отобраны 300 лучших. Из шести томских учащихся, попавших в финалисты, Елизавета — единственная студентка непрофильного образовательного учреждения. С февраля по июль участники проходили дистанционные этапы конкурса. Первый этап — комплексная входная диагностика. Она позволяет определить, насколько у каждого участника сформированы надпрофессиональные компетенции и профессиональные знания. Конкурсанты продемонстрировали свой уровень в области психологии и педагогики, функциональной грамотности и управления проектами. По итогам этого этапа каждый получил отчет с информацией об уровне знаний и рекомендации по их дальнейшему развитию.В июле прошла серия онлайн-конференций, лекций, семинаров, тренингов, где можно было удаленно поучаствовать в обсуждениях или посмотреть мероприятие в записи. Уже в октябре студентов ждут финальные мероприятия — дискуссионные площадки, круглые столы с участием ведущих экспертов в сфере образования, профессиональные и творческие мастерские. Конкурсные испытания пройдут как в командном, так и в индивидуальном формате. Финал конкурса «Флагманы образования» пройдет 7-10 октября в Волгограде. Победителями среди студентов становятся не более 10 участников финала: лучших определяют на основе балльного рейтинга. Все финалисты получат дипломы. Текст: Юлия Ермальчук, Екатерина Аксенова"
https://io.tsu.ru/model-razvitia-ped-obrazovania/tpost/5dk89utuv1-na-seminare-tsentrov-rao-rasskazali-ob-o,18.09.2024,На семинаре центров РАО рассказали об опыте Большого университета Томска,"Выездной научно-практический семинар региональных и научных центров Российской академии образования прошел в Ставрополе. В нем очно и онлайн приняли участие 62 научных центра академии. В деловую программу было включено обсуждение вопросов управления качеством научных исследований и развития региональной сети РАО.Региональный научный центр РАО в Сибирском федеральном округе, открытый при Томском государственном университете, представляли заместитель губернатора Томской области по образованию, молодежной политике и цифровому развитию Наталия Киселева; руководитель Сибирского РНЦ РАО, профессор Института образования ТГУ Лариса Смышляева и заместитель директора Института развития педагогического образования ТГПУ Ольга Нерадовская.В первый день семинара прошли установочные сессии о текущем состоянии дел в научно-педагогических исследованиях и о том, какие сейчас стоят задачи по повышению качества этих исследований. Во второй день отдельные площадки академии познакомили коллег с опытом своих регионов и внесли свои предложения по развитию педагогической науки.В выступлении томичей Большой университет Томска был представлен как главный двигатель взаимодействия субъектов научно-педагогических исследований в регионе.Руководитель Сибирского РНЦ Лариса Смышляева показала четыре основных вектора работы томского центра. Первый вектор — новые модели и новые концепции профессионализации и карьеропостроения. Второй — содействие развитию практикам средне-профессионального образования. Третья тематика — вовлечение молодежи в педагогическую профессию и педагогическую науку. И четвертая линия — развитие высшего медицинского образования (проект, реализуемый совместно СибГМУ и ТГПУ). Обсуждение вопросов, представленных на семинаре РАО, продолжится на профильных конференциях и на III томском форуме «Преобразование образования», который в 2024 году получил статус международного. Фото: пресс-служба СКФУ"
https://io.tsu.ru/innovativeeducationalprojects/tpost/ilr3jynbt1-deputati-gosdumi-rf-vstretilis-s-uchastn,17.09.2024,Депутаты Госдумы РФ встретились с участниками вузовского «пилота»,"В сентябре Томск посетила делегация комитета Государственной Думы Федерального Собрания Российской Федерации по науке и высшему образованию. Встречи законодателей России со студентами и преподавателями — участниками пилотного проекта по обновлению системы высшего образования России прошли в ТГУ.Совместно с представителями местной власти, крупными работодателями, сотрудниками и студентами ТГУ обсуждались вопросы взаимодействия вуза и регионального бизнеса в связи с трансформацией высшего образования. В совещаниях приняли участие сотрудники отдела сопровождения инновационных образовательных проектов ИО ТГУ. В работе площадки «Подходы к обеспечению качества высшего юридического образования» принял участие председатель Комитета Государственной Думы РФ по науке и высшему образованию Сергей Кабышев. На круглом столе работодатели подтвердили: переживая сильнейший кадровый дефицит, компании ждут, что университет обеспечит ускоренный выход студентов на рынок труда. Это требует изменений норматива — необходимо обеспечить возможность занимать определённые должности обучающимся или выпускникам с небольшим опытом юридической практики и определить составляющие фундаментального «ядра» высшего юридического образования. Работодатели рассчитывают, что вуз возьмет на себя формирование у будущих выпускников необходимых личностных и морально-этических качеств, связанных с конкретными трудовыми позициями. Также отмечалась необходимость включить представителей ЮИ ТГУ в рабочую группу по подготовке изменений в федеральном законодательстве и образовательных стандартах, а работодателей и отраслевых партнеров приобщать к составлению учебно-методических материалов в рамках новой модели высшего юридического образования. На площадке «Обновление химического образования в целях обеспечения технологического суверенитета страны» экспертом выступил Александр Мажуга, первый заместитель председателя комитета Государственной Думы РФ по науке и высшему образованию.Участники круглого стола подняли вопросы подготовки кадров для химической промышленности и реализации пилотных программ химического факультета НИ ТГУ. Ключевыми аспектами обсуждения стали финансовые модели пилотных образовательных программах с вариативным сроком обучения, обоснованность программ одногодичной магистратуры, сохранение и обновление фундаментальных знаний. Было отмечено, что Томску необходимо занимать центральные позиции в подготовке кадров по химическим специальностям, и, хотя нынешнее количество выпускаемых специалистов удовлетворительно, его необходимо увеличивать. Среди мер потенциальной поддержки — разработка законопроекта, позволяющего федеральному учебно-методическому объединению производить оценку количества выпускников, необходимых для реализации национальных проектов, поддержка и подготовка учителей, методическое сопровождение их деятельности, финансирование оснащения профильных кабинетов. Также на круглом столе в ТГУ обсудили возможность финансирования программ согласно КЦП. Круглый стол со студентами ближнего и дальнего зарубежья по вопросам реализации образовательных программ проходил в формате «вопрос-ответ». На площадке с участием первого заместителя председателя комитета Государственной Думы РФ по науке и высшему образованию Владимира Сипягина был представлен восточный вектор работы университета, его образовательное взаимодействие со странами Юго-Восточной Азии и реализацию концепта «мягкой силы» России в этих странах через работу с выпускниками.Во время обсуждения абитуриентам из некоторых стран (например, Таджикистан) предложено поступать в магистратуру сразу после получения высшего образования первой ступени без обязательной отработки в течение трех лет, с обязательным возвращением на родину. Озвучены необходимые меры по адаптации иностранных студентов, включая обязательное распределение иностранных обучающихся в смешанные группы с русскоязычными студентами.Рассматриваемые вопросы касались в том числе облегчения процедуры валидации документов об образовании для учащихся из Мали, Вьетнама и некоторых других стран (это существенно упростит для них поступление на российские программы магистратуры).Студенты высказывались за то, чтобы им предоставили право стажироваться и работать в процессе обучения на основании студенческой визы. Обучающиеся задавали вопросы касательно содержания пилотных программ и просили уделить больше внимания разъяснению соответствия новых программ Международной стандартной классификации образования (МСКО)."
https://io.tsu.ru/tutorcenter/tpost/zml2uv0pc1-v-tgu-vnov-prohodit-kurs-pogruzhenie-v-u,16.09.2024,В ТГУ вновь проходит курс «Погружение в университетскую среду» для первокурсников,"3 сентября в Томском государственном университете стартовал курс «Погружение в университетскую среду» для первокурсников, который организует Тьюторская служба ТГУ. Задача курса — помочь только что поступившим студентам эффективно адаптироваться к университетской жизни и узнать о возможностях для своего развития и самореализации.Курс «Погружение» проводится уже в пятый раз. В этом году в нем участвуют первокурсники 19 факультетов Томского государственного университета — около 2 800 человек. Очные занятия интенсивной части курса, которая прошла в первую учебную неделю, посетили порядка 1 200 студентов.3 сентября для первокурсников был проведен навигационный вебинар, на котором им рассказали о структуре курса. В первую неделю студентов ждала интенсивная часть: участие в различных активностях и выполнение заданий онлайн-курса на платформе iDO. Особенностью курса в этом году стало разделение активностей на треки: «Моя самореализация», «Моя Alma Mater», «Моя карьера», «Мое психологическое благополучие», «Мои soft skills» и и «Нейросети». В каждом треке было представлено несколько мероприятий на выбор, которые студенты могли посетить в зависимости от своих интересов.Так, в треке «Мои soft skills» Центр компетенций ТГУ провел для первокурсников различные мероприятия, направленные на развитие «гибких навыков»: игру про универсальные компетенции, тренинг работы в команде, мастер-класс по лидерству и др. А в треке «Моё психологическое благополучие» представители Психологической служба ТГУ прочли большую лекцию и провели несколько тренингов, которые помогли первокурсникам понять, как полноценно проживать свое студенчество, а не просто «выживать» в университете.Интенсивная часть «Погружения» завершилась 7 сентября, однако до 13 сентября первокурсники все еще могут выполнять задания онлайн-курса на платформе iDO: смотреть видеоролики от подразделений, проходить различные диагностики и тестирования. Все это поможет им лучше узнать себя, а также набрать дополнительные баллы, чтобы подняться в рейтинге участников курса и побороться за призы.Для награждения первокурсников в 2024 году тьюторы разработали уникальный мерч в тьюторской тематике. Также победители получат сертификаты на бесплатную вышивку в творческой мастерской по созданию одежды bembi, которую создали сестры София и Кристина Паталаха из ТГУ.Дарья Мамизерова, тьютор и специалист по учебно-методической работе Института образования ТГУ, поделилась своими впечатлениями после проведения интенсивной части курса. С 9 сентября по 30 ноября у студентов будет возможность самостоятельно выбирать, чем заниматься в рамках «Погружения». Чтобы получить зачет, до конца курса им нужно совершить три инициативных действия: принять участие в мероприятии, выступить на конференции или выполнить любую другую активность.Тьюторская служба будет публиковать подборки мероприятий, в которых студенты могут принять участие. Организаторы ждут от студентов, что они не только будут ходить на свои занятия, но и продолжат пробовать что-то новое и погружаться в университетскую жизнь самостоятельно."
https://io.tsu.ru/model-razvitia-ped-obrazovania/tpost/p49v85tch1-tsentr-kompetentsii-tgu-vibor-studentov,12.09.2024,Центр компетенций ТГУ — выбор студентов на университетской «Ярмарке возможностей»,"С 9 по 11 сентября в Центре культуры Томского государственного университета прошел фестиваль студенческих объединений ТГУ «Ярмарка твоих возможностей». Его целью было познакомить студентов с деятельностью организаций и объединений университета и привлечь их внимание к общественной и творческой жизни вуза.Фестиваль был организован в формате площадки с интерактивными стендами объединений. Среди них был и стенд Центра компетенций ТГУ. Его сотрудники подготовили для студентов несколько игр и заданий, связанных с развитием софт-компетенций, а также организовали фотозону и розыгрыш в группе ВКонтакте.За три дня через интерактивный стенд Центра компетенций прошли около 400 студентов, которые участвовали в играх, выполняли задания и узнавали о работе Центра. На площадке студенты определяли компетенции, зашифрованные в мемах, соотносили предметы и «гибкие навыки», проходили тестирование типа личности по геометрическим фигурам и многое другое.Также специалисты рассказали ребятам о возможностях, которые предоставляет Центр компетенций для студентов: диагностике «гибких навыков» с получением подтверждающего документа и о клубе «Среда компетенций», встречи которого начали проводиться в этом году.В последний день «Ярмарки» Центр компетенций ТГУ наградили дипломом за победу в номинации «Самое запоминающееся объединение» по результатам оценок участников фестиваля."
https://io.tsu.ru/news/tpost/1yuft7hek1-privet-magistranti-io-tgu,06.09.2024,"Привет, магистранты ИО ТГУ!","В 2024 году Институт образования ТГУ открыл новую магистерскую программу «Аналитика и междисциплинарные исследования в образовании». В первый учебный день прошла встреча создателей программы с магистрантами в рамках навигационного курса программы.«Навигация» — это отдельный предмет, пары по которому будут проходить у магистрантов раз в неделю. Навигационный курс призван помочь студентам адаптироваться в Институте образования. На парах они будут знакомиться с экспертами, практиками и исследователями сферы образования, узнавать о возможностях Института и проектах, в которые можно включиться для прохождения практики и написания работ. Также в рамках курса несколько раз в семестр будут проходить тьюториалы, которые помогут будущим магистрам в самоопределении. Содержание пар и тьюториалов будет зависеть от потребностей самих обучающихся.В первый учебный день на «Навигации» студенты и преподаватели познакомились друг с другом в неформальной обстановке. Первокурсники задавали вопросы о программе обучения, а также рассказывали о себе, своем предыдущем опыте и о том, чем они хотят заниматься в магистратуре Института образования: Преподаватели программы тоже поделились информацией о себе и о своих ожиданиях от магистратуры, после чего студентам более подробно рассказали о программе обучения. В первом семестре студентов ждут занятия по таким предметам, как академическое чтение и письмо на английском языке, курс «Навигация», анализ данных, концепции образования, методология и методы исследования в образовании, а также научно-исследовательский семинар.На следующих парах «Навигации» первокурсники познакомятся с проектами Института образования, в которые они смогут вступить для прохождения практики и написания работ. Предполагается, что в первом семестре студенты будут проходить практику, участвуя в проектах ИО ТГУ. Это позволит им сразу включиться в профессиональное сообщество и сформировать исследовательские навыки и компетенции. В дальнейшем возможности для прохождения практики у магистрантов ИО будут расширяться. На встрече первокурсникам рассказали о партнерах Института образования, которые готовы принять студентов на практику: Skillbox, Университет ИТМО, Высшая школа экономики и другие. Если у студентов появятся собственные идеи для проектов, они также смогут воплотить их в жизнь в магистратуре. Текст: Юлия Ермальчук"
https://io.tsu.ru/bachelor-of-education/tpost/41xyrj7ch1-v-institute-obrazovaniya-tgu-nachalsya-n,03.09.2024,В Институте образования ТГУ начался новый учебный год,"2 сентября в Институте образования прошла встреча руководства ИО ТГУ и его преподавателей с новым набором студентов. В бакалавриате это уже третий по счету набор, а в магистратуре — первый. Студентов-новобранцев встречали второкурсники и третьекурсники программы «Образование в новой социокультурной и цифровой реальности». С приветственными словами обратились к аудитории Мария Абрамова, директор Центра социологии образования и руководитель магистерской программы «Аналитика и междисциплинарные исследования в образовании», а также профессор ИО ТГУ Лариса Смышляева. Студентам бакалавриата главный университетский документ выдала Елена Суханова."
https://io.tsu.ru/k21center/tpost/gt1yfuzbx1-shkolniki-poluchili-bilet-v-buduschee,30.08.2024,Школьники получили «Билет в будущее»,"С 13 по 27 августа в МОЦ «Солнечный» прошла летняя техническая смена «Билет в будущее: дерзай и открывай» для учеников 5-11 классов. Смену провели Томский государственный университет и центр «Планирование карьеры». В течение двух недель 143 школьника из Томска, Новосибирска, Юрги, Иркутска, Лимассола и Москвы пробовали себя в научной деятельности под руководством студентов и сотрудников вузов.За организацию образовательной и культурно-досуговой программы отвечал Центр развития современных компетенций ТГУ. В реализации образовательной программы приняли участие студенты и представители факультетов и институтов ТГУ (РФФ, ФТФ, ИО, HITS, БИ, ХФ), а также сотрудники Сибирского ботанического сада ТГУ, СКБ «Беспилотные авиационные системы» и ПИШ «Агробиотек» ТГУ.Главной задачей технической смены было дать детям возможность почувствовать себя настоящими учеными и погрузиться в культуру научно-исследовательской деятельности в неформальной обстановке детского лагеря. Программа смены включала три блока: soft-блок, исследовательский и проектный. В первом ребята знакомились друг с другом и лагерем, а также развивали свои универсальные компетенции с помощью тренингов, игр, мастер-классов и квестов: учились работать с информацией, прокачивали навыки коммуникации и командной работы.Для второго блока, исследовательского, факультеты и институты вузов подготовили реальные научные кейсы. Участники могли выбрать интересную им тему для исследования в одном из шести хабов. Так, в техническом хабе школьники изучали тенденции на рынке труда и реакции мозга на раздражители с помощью современных цифровых средств и электронного оборудования. В биологическом и экологическом — видовое разнообразие живых организмов на территории лагеря, химический состав воды и «зеленую» энергетику. В картографическом хабе ребята создавали карту лагеря и измеряли площадь неправильных объектов, в инженерном — разрабатывали экзоскелет и луноход, а в агро-хабе — исследовали почву и растения.Затем команды перешли к проектному блоку смены, в котором им предстояло реализовать собственные проекты и представить готовый продукт. Сделать это можно было на основе знаний и открытий, полученных в исследованиях, но при желании участники могли сменить тему. Для некоторых проектов заказчиком стал сам Центр «Солнечный»: под его запрос разрабатывались такие проекты, как «Дизайн пространства коворкинга», «Город-сад», «Домик для насекомых», «Экзоскелет» и другие. Помимо основной программы смены ребята развивались творчески: проводили концерты, дискотеки, участвовали в мастер-классах, играх и спортивных мероприятиях. А в конце каждого дня тьюторы проводили для участников рефлексию, чтобы помочь им осознать полученный опыт и понять, чем они хотели бы продолжить заниматься в университете в будущем. Текст: Юлия Ермальчук"
